dep,nom,cp,nb_hab_2010,nb_hab_1999,nb_hab_2012,dens,surf,long,lat,alt_min,alt_max
2,Mercin-et-Vaux,2200,940,920,900,120,7.77,3.28333,49.3833,41,156
2,Chevresis-Monceau,2270,356,367,400,21,16.85,3.56667,49.75,60,137
2,Beaurevoir,2110,1512,1497,1500,69,21.73,3.3,50,97,152
2,Saint-Bandry,2290,260,238,200,43,6.02,3.16667,49.3667,49,157
2,Vregny,2880,91,102,100,20,4.5,3.41667,49.4167,69,166
2,Vadencourt,2120,638,605,600,52,12.24,3.58333,49.9333,82,152
2,Vierzy,2210,440,386,400,34,12.73,3.28333,49.2833,86,155
2,Caillouël-Crépigny,2300,420,426,400,63,6.63,3.15,49.6167,53,182
2,Nizy-le-Comte,2150,257,250,300,8,31.53,4.05,49.5667,77,142
2,Vendières,2540,153,123,100,12,12.35,3.45,48.8667,102,209
2,Buzancy,2200,186,169,200,39,4.75,3.35,49.3167,62,153
2,Jeantes,2140,217,213,200,13,15.61,4.05,49.8,153,231
2,Connigis,2330,325,266,300,59,5.46,3.53333,49.0333,67,233
2,Torcy-en-Valois,2810,83,73,100,22,3.62,3.26667,49.0833,82,175
